	d33009	d33018	d33031	d33039	d33120	d33209	d33211	d33369	d33413	d33430	d33451	d33455	d33512	others33013
105373750_at	0.367650215	0.873262587	1.128664568	0.748140325	1.115841901	0.463521326	1.257793607	1.021145251	1.099970141	1.332969911	0.447500732	1.675986856	0.891597927	0
105373759_at	0.067550788	0	0	0.07877621	0	0	0	0	0.11627897	0	0.214333139	0.156394182	0	0.300263004
105373780_at	0	0	0	0	0	0	0	0	0	0	0.104980548	0.281943486	0	0
105373926_at	5.232381358	3.794027859	5.408453662	4.614335718	4.378382044	4.455948903	4.562728251	4.780491209	4.884259459	4.754363608	5.072912432	4.914445238	5.188235711	3.78496018
105373944_at	0	0	0	0	0	0	0	0	0	0	0.165224017	0	0.192413127	0
105373985_at	0	0.078944812	0.205609541	0.164313773	0.186652047	0	0.11412433	0.112657327	0.084253959	0.225517952	0.156732112	0.37940302	0	0.221288879
105373989_at	0	0	0	0	0	0	0	0.356208574	0	0	0.26045646	0.461714217	0.301755803	1.947904992
105374013_at	0	0	0.079933393	0	0	0	0	0	0	0.06653231	0.089529272	0.043361074	0.104711102	0
105374089_at	0.078072283	0.125732749	0.114584617	0.176583426	0	0	0.093069129	0.336838354	0	0.09556397	0.128159191	0.179917979	0	0
105374103_at	1.795271142	0.933872649	0.904846914	1.059889893	0.168901	0.147327937	0	0.524267899	0.623673899	1.931581642	1.77614269	1.639121768	2.374672116	3.397870328
105374250_at	0	0	0.48606696	0.395624792	0	0.392556378	0	0.510806849	0	0.413483318	0.378677864	0.441070022	0.436076711	0
105374299_at	0.084650101	0	0	0	0	0	0	0	0.145107523	0.103563392	0.26533446	0.132547604	0.672230618	0.369242449
105374301_at	1.161130458	1.024210599	1.039705827	0.636302047	1.564123231	1.613701402	0.558601243	0.804413225	1.279673769	1.115204093	1.392862395	1.289894341	1.19648069	3.107316003
105374314_at	0.238890016	0.372848896	0	0	0	0	0	0.511817467	0	0	0.379460396	0	0	0
105374378_at	1.505869774	2.043588181	1.579788356	2.177910625	2.057100995	0.860135471	1.335375492	1.684831171	1.11872055	1.187269495	3.247188842	2.050668434	1.93574244	4.072439711
